removed_label,removed_name,kept_labels,kept_names,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,runtime_seconds,violations
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,70.4745503,70.4745503,0.0,0.043358,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,64.9453029,64.9453029,0.0,0.053475,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,68.6964926,68.6964926,0.0,0.047867,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,67.3773871,67.3773871,0.0,0.038707,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,60.4950714,60.4950714,0.0,0.028289,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,58.3261223,58.3261223,0.0,0.037016,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,76.4570073,76.4570073,0.0,0.213794,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,65.4164146,65.4164146,0.0,0.200773,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,75.738496,75.738496,0.0,0.101559,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,71.0318192,71.0318192,0.0,0.041158,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,63.1425075,63.1425075,0.0,0.124309,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,79.7934715,86.1545939,6.3611224,0.19483,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,79.4453673,79.4453673,0.0,0.335713,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,69.6254289,69.6254289,0.0,0.478131,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,84.619931,86.5000603,1.8801293,0.369315,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,81.63297,81.63297,0.0,0.21346,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,77.9700568,77.9700568,0.0,0.225748,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,78.3742269,83.5594121,5.1851852,0.209445,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,83.3706149,83.3706149,0.0,0.482193,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,77.2747106,77.2747106,0.0,0.682889,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,78.4184858,80.723562,2.3050762,0.594372,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,78.9588538,81.0100213,2.0511675,0.327142,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,76.1814,76.1814,0.0,0.429842,-
1,substitute_pois,2|3,"insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,71.8721883,75.7275862,3.8553979,0.302672,-
