removed_label,removed_name,kept_labels,kept_names,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,baseline_final_score,delta_vs_baseline,runtime_seconds,violations
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,70.4745503,74.2185136,3.7439633,77.1785373,-2.9600237,0.107603,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,64.9453029,64.9453029,0.0,64.9453029,0.0,0.073396,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,68.6964926,79.981982,11.2854893,80.681982,-0.7,0.154572,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,67.3773871,75.9707403,8.5933533,75.9707403,0.0,0.075839,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,60.4950714,60.4950714,0.0,60.4950714,0.0,0.032461,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,58.3261223,67.7071408,9.3810185,67.7071408,0.0,0.083381,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,76.4570073,85.6618988,9.2048915,85.6618988,0.0,0.52121,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,65.4164146,65.4164146,0.0,65.4164146,0.0,0.223848,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,75.738496,88.4734977,12.7350017,87.810414,0.6630837,0.607575,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,71.0318192,71.0318192,0.0,71.0318192,0.0,0.051481,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,63.1425075,63.1425075,0.0,63.1425075,0.0,0.126225,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,79.7934715,86.1545939,6.3611224,88.4496759,-2.295082,0.240504,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,79.4453673,89.5898214,10.144454,89.5898214,0.0,1.558403,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,69.6254289,69.6254289,0.0,69.6254289,0.0,0.498059,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,84.619931,89.5969952,4.9770642,89.5969952,0.0,1.111992,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,81.63297,81.63297,0.0,84.5053318,-2.8723619,0.229337,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,77.9700568,77.9700568,0.0,77.9700568,0.0,0.247101,-
