removed_label,removed_name,kept_labels,kept_names,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,runtime_seconds,violations
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,70.4745503,77.1785373,6.703987,0.14537,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,64.9453029,64.9453029,0.0,0.077731,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,68.6964926,80.3631593,11.6666667,0.14029,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,67.3773871,75.9707403,8.5933533,0.091214,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,60.4950714,60.4950714,0.0,0.033743,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,58.3261223,62.8631593,4.537037,0.094577,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,76.4570073,83.3668168,6.9098095,0.720247,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,65.4164146,65.4164146,0.0,0.230325,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,75.738496,85.4770807,9.7385847,0.49526,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,71.0318192,71.0318192,0.0,0.070016,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,63.1425075,63.1425075,0.0,0.139179,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,79.7934715,88.4496759,8.6562043,0.291615,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,79.4453673,88.400501,8.9551336,1.233505,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,69.6254289,69.6254289,0.0,0.879412,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,84.619931,88.3125915,3.6926606,0.983384,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,81.63297,84.5053318,2.8723619,0.648893,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,77.9700568,77.9700568,0.0,0.276475,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,78.3742269,83.5594121,5.1851852,0.474944,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,83.3706149,86.6873083,3.3166935,1.422936,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,77.2747106,77.2747106,0.0,0.696929,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,78.4184858,86.5394008,8.120915,2.259891,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,78.9588538,83.8783954,4.9195416,0.835234,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,76.1814,76.1814,0.0,0.37638,-
1,swap_city_blocks,2|3|4,"substitute_pois,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,71.8721883,83.6234404,11.751252,1.484516,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,70.4745503,70.4745503,0.0,0.042917,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,64.9453029,64.9453029,0.0,0.052157,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,68.6964926,68.6964926,0.0,0.052655,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,67.3773871,67.3773871,0.0,0.040117,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,60.4950714,60.4950714,0.0,0.028795,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,58.3261223,58.3261223,0.0,0.036841,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,76.4570073,76.4570073,0.0,0.210148,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,65.4164146,65.4164146,0.0,0.18758,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,75.738496,75.738496,0.0,0.122218,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,71.0318192,71.0318192,0.0,0.056696,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,63.1425075,63.1425075,0.0,0.138691,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,79.7934715,86.1545939,6.3611224,0.224458,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,79.4453673,79.4453673,0.0,0.23816,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,69.6254289,69.6254289,0.0,0.372538,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,84.619931,86.5000603,1.8801293,0.516612,-
2,substitute_pois,1|3|4,"swap_city_blocks,insert_new_city,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,81.63297,81.63297,0.0,0.241989,-
