transition_label,transition_name,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,interest_matching_base,interest_matching_final,interest_matching_gain,tu_utilization_base,tu_utilization_final,tu_utilization_gain,city_visit_efficiency_base,city_visit_efficiency_final,city_visit_efficiency_gain,geographic_coverage_base,geographic_coverage_final,geographic_coverage_gain,long_travel_penalty_base,long_travel_penalty_final,long_travel_penalty_gain,travel_streak_smoothness_base,travel_streak_smoothness_final,travel_streak_smoothness_gain,stay_streak_smoothness_base,stay_streak_smoothness_final,stay_streak_smoothness_gain,runtime_seconds,violations
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,6,balanced,0.25,0.25,0.25,0.25,59.8558425,82.6993707,22.8435281,0.3571429,1.0,0.6428571,0.9583333,0.9166667,-0.0416667,0.6666667,0.6666667,0.0,0.8653888,0.9226514,0.0572625,1e-06,0.0673586,0.0673576,1.0,0.8872029,-0.1127971,1.0,1.0,0.0,0.033286,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,6,nature_food,0.4,0.2,0.3,0.3,66.3622636,75.734967,9.3727034,0.5,0.8571429,0.3571429,0.9583333,0.875,-0.0833333,0.6666667,0.6666667,0.0,0.9095908,0.8406638,-0.068927,0.1407387,1e-06,-0.1407377,0.8872029,1.0,0.1127971,1.0,1.0,0.0,0.029366,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,69.0131435,70.3183003,1.3051567,0.6157407,0.702381,0.0866402,0.9583333,0.875,-0.0833333,0.6666667,0.6666667,0.0,0.8124204,0.8406638,0.0282434,0.1464897,1e-06,-0.1464887,0.8872029,1.0,0.1127971,1.0,1.0,0.0,0.018768,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,74.4493707,83.1993707,8.75,0.75,1.0,0.25,0.95,0.95,0.0,0.6666667,0.6666667,0.0,0.9226514,0.9226514,0.0,0.0673586,0.0673586,0.0,0.8872029,0.8872029,0.0,1.0,1.0,0.0,0.071667,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,10,nature_food,0.4,0.2,0.3,0.3,73.3183003,79.9181207,6.5998204,0.7666667,0.90625,0.1395833,0.925,0.95,0.025,0.6666667,0.6666667,0.0,0.8406638,0.9226514,0.0819876,1e-06,0.0673586,0.0673576,1.0,0.8872029,-0.1127971,1.0,1.0,0.0,0.096409,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,10,culture_food,0.1,0.4,0.3,0.2,66.8112745,74.6794114,7.8681369,0.6446078,0.8055556,0.1609477,0.95,0.925,-0.025,0.3333333,0.6666667,0.3333333,1.0,0.8406638,-0.1593362,0.0,1e-06,1e-06,1.0,1.0,0.0,1.0,1.0,0.0,0.101251,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",4,summer,6,balanced,0.25,0.25,0.25,0.25,58.0389605,58.0389605,0.0,0.3181818,0.3181818,0.0,1.0,1.0,0.0,0.3333333,0.3333333,0.0,0.4601731,0.4601731,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.018516,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",4,summer,6,nature_food,0.4,0.2,0.3,0.3,62.4813828,62.4813828,0.0,0.4,0.4,0.0,1.0,1.0,0.0,0.3333333,0.3333333,0.0,0.5654255,0.5654255,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.019058,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,52.0217213,52.0217213,0.0,0.1190476,0.1190476,0.0,1.0,1.0,0.0,0.3333333,0.3333333,0.0,0.5236703,0.5236703,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.020457,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,61.548244,61.548244,0.0,0.3529412,0.3529412,0.0,0.95,0.95,0.0,0.3333333,0.3333333,0.0,0.6630202,0.6630202,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.081029,-
