algorithm_id,algorithm,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,total_score,interest_matching,tu_utilization,city_visit_efficiency,geographic_coverage,long_travel_penalty,travel_streak_smoothness,stay_streak_smoothness,runtime_seconds,violations
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,6,balanced,0.25,0.25,0.25,0.25,59.8558425,0.3571429,0.9583333,0.6666667,0.8653888,1e-06,1.0,1.0,0.003008,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,6,balanced,0.25,0.25,0.25,0.25,74.8558425,0.7857143,0.9583333,0.6666667,0.8653888,1e-06,1.0,1.0,0.026537,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,6,balanced,0.25,0.25,0.25,0.25,82.6993707,1.0,0.9166667,0.6666667,0.9226514,0.0673586,0.8872029,1.0,0.134516,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,6,nature_sport,0.4,0.1,0.2,0.3,58.6058425,0.3214286,0.9583333,0.6666667,0.8653888,1e-06,1.0,1.0,0.003575,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,6,nature_sport,0.4,0.1,0.2,0.3,68.1891759,0.5952381,0.9583333,0.6666667,0.8653888,1e-06,1.0,1.0,0.029195,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,6,nature_sport,0.4,0.1,0.2,0.3,78.2049664,0.8518519,0.9583333,0.6666667,0.8290235,0.2143784,0.8872029,1.0,0.099823,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,64.0683003,0.5238095,0.875,0.6666667,0.8406638,1e-06,1.0,1.0,0.002919,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,73.821111,0.702381,0.9166667,1.0,0.7949514,0.0001,0.7125015,1.0,0.057501,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,73.821111,0.702381,0.9166667,1.0,0.7949514,0.0001,0.7125015,1.0,0.107809,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,64.9014585,0.5,0.975,0.6666667,0.8517632,1e-06,1.0,1.0,0.031996,-
