algorithm_id,algorithm,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,total_score,interest_matching,tu_utilization,city_visit_efficiency,geographic_coverage,long_travel_penalty,travel_streak_smoothness,stay_streak_smoothness,runtime_seconds,violations
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,6,balanced,0.25,0.25,0.25,0.25,65.1911446,0.4,0.9444444,1.0,0.8517632,1e-06,0.8496039,1.0,0.000901,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,6,balanced,0.25,0.25,0.25,0.25,65.1911446,0.4,0.9444444,1.0,0.8517632,1e-06,0.8496039,1.0,0.008941,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,6,balanced,0.25,0.25,0.25,0.25,75.0,0.7857143,1.0,0.5,1.0,0.0,1.0,1.0,0.030287,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,6,nature_sport,0.4,0.1,0.2,0.3,74.3579863,0.6666667,0.9444444,1.0,0.8406638,1e-06,0.8496039,1.0,0.000863,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,6,nature_sport,0.4,0.1,0.2,0.3,74.3579863,0.6666667,0.9444444,1.0,0.8406638,1e-06,0.8496039,1.0,0.009379,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,6,nature_sport,0.4,0.1,0.2,0.3,74.3579863,0.6666667,0.9444444,1.0,0.8406638,1e-06,0.8496039,1.0,0.022264,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,6,culture_food,0.1,0.4,0.3,0.2,61.3994779,0.2916667,0.9444444,1.0,0.8517632,1e-06,0.8496039,1.0,0.000837,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,6,culture_food,0.1,0.4,0.3,0.2,65.6079863,0.4166667,0.9444444,1.0,0.8406638,1e-06,0.8496039,1.0,0.017917,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,6,culture_food,0.1,0.4,0.3,0.2,65.6079863,0.4166667,0.9444444,1.0,0.8406638,1e-06,0.8496039,1.0,0.026729,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,6,sport_culture,0.2,0.3,0.1,0.4,65.7744779,0.4166667,0.9444444,1.0,0.8517632,1e-06,0.8496039,1.0,0.000909,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,6,sport_culture,0.2,0.3,0.1,0.4,81.7113055,0.8546296,0.8333333,1.0,0.9095908,0.1407387,0.8496039,1.0,0.027965,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,6,sport_culture,0.2,0.3,0.1,0.4,81.7113055,0.8546296,0.8333333,1.0,0.9095908,0.1407387,0.8496039,1.0,0.031041,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,8,balanced,0.25,0.25,0.25,0.25,60.1494779,0.25,0.9583333,1.0,0.8517632,1e-06,0.8496039,1.0,0.001066,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,8,balanced,0.25,0.25,0.25,0.25,66.5774174,0.5,0.875,1.0,0.7644589,0.0237514,0.8496039,1.0,0.027952,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,8,balanced,0.25,0.25,0.25,0.25,72.0663197,0.6666667,0.7916667,1.0,0.8406638,1e-06,0.8496039,1.0,0.054307,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,8,nature_sport,0.4,0.1,0.2,0.3,69.5663197,0.5595238,0.875,1.0,0.8406638,1e-06,0.8496039,1.0,0.001064,-
