algorithm_id,algorithm,field,value,n,total_score_mean,interest_matching_mean,tu_utilization_mean,city_visit_efficiency_mean,geographic_coverage_mean,long_travel_penalty_mean,travel_streak_smoothness_mean,stay_streak_smoothness_mean,total_score_median,interest_matching_median,tu_utilization_median,city_visit_efficiency_median,geographic_coverage_median,long_travel_penalty_median,travel_streak_smoothness_median,stay_streak_smoothness_median
1,route_planner_greedy:RoutePlanner,days,15,48,71.80524047291667,0.575202325,0.9616203812499999,0.7546296541666666,0.7604638916666667,0.46500712916666664,0.98558705,0.98888888125,71.94240965,0.5770793000000001,0.9666667,0.7777778,0.734761,0.6141031,1.0,0.99166665
1,route_planner_greedy:RoutePlanner,days,21,48,71.78549850833333,0.5769247916666667,0.9586309645833334,0.717948725,0.7611234666666666,0.5151680083333333,0.9932858750000001,0.98189483125,70.5272095,0.5732269999999999,0.9603175,0.6923077,0.7372250499999999,0.47740384999999996,1.0,0.9880952
1,route_planner_greedy:RoutePlanner,days,4,48,64.15365211458334,0.47603991458333333,0.9550347208333333,0.5416666666666666,0.6986440374999999,0.47770093333333336,0.95701286875,1.0,63.7667866,0.48958335,0.9666666500000001,0.6666667,0.6630202,0.4348898,1.0,1.0
1,route_planner_greedy:RoutePlanner,days,9,48,70.28873717500001,0.5859273270833333,0.96481481875,0.715277775,0.7306968833333333,0.38404611041666664,0.95926775,0.996527775,70.44190925000001,0.6001984,0.962963,0.6666667,0.7313594000000001,0.0066044,0.949868,1.0
2,route_planner_greedy_local:RoutePlanner,days,15,48,76.73693634791667,0.7183301437499999,0.9564351979166666,0.7546296541666666,0.7604638916666667,0.46500712916666664,0.98558705,0.98888888125,75.61834085000001,0.6934311,0.96,0.7777778,0.734761,0.6141031,1.0,0.99166665
2,route_planner_greedy_local:RoutePlanner,days,21,48,76.49278961458333,0.7137714270833334,0.95314154375,0.717948725,0.7611234666666666,0.5151680083333333,0.9932858750000001,0.98189483125,74.42086115000001,0.6492278,0.95476195,0.6923077,0.7372250499999999,0.47740384999999996,1.0,0.9880952
2,route_planner_greedy_local:RoutePlanner,days,4,48,70.08367997708334,0.5920499520833333,0.9473958291666666,0.6736110979166666,0.69580508125,0.5393694770833334,0.8432113791666667,1.0,71.22022365,0.5724206000000001,0.9583333,0.6666667,0.6630202,0.5956865,0.7125015,1.0
2,route_planner_greedy_local:RoutePlanner,days,9,48,74.56669575208333,0.7108663562499999,0.9584876583333334,0.715277775,0.7306968833333333,0.38404611041666664,0.95926775,0.996527775,74.81741595,0.6907307,0.962963,0.6666667,0.7313594000000001,0.0066044,0.949868,1.0
3,route_planner:RoutePlanner,days,15,48,80.10722214375001,0.7547170375,0.9593055645833334,0.8194444624999999,0.7547069916666667,0.6103848104166667,0.92839575,0.98888888125,79.0527362,0.73245465,0.9666667,0.7777778,0.72104575,0.7688222499999999,0.9699208,0.99166665
3,route_planner:RoutePlanner,days,21,48,79.14716878333333,0.7512872645833334,0.9509920708333334,0.77403845625,0.7519719958333333,0.6043738791666667,0.9487727229166666,0.9818948270833333,77.33076935,0.6705541500000001,0.9571429,0.7692308,0.7153187,0.71641275,0.9785148,0.9880952
